feature,mean_abs_weight,bin
age,0.21492089093000644,High
workclass,0.02765671601357387,Low
fnlwgt,0.005866150036171571,Low
education,0.07438242107324403,Medium
education.num,0.14597848091891974,High
marital.status,0.11148962333251161,High
occupation,0.07064909512684094,Medium
relationship,0.06762935267077733,Low
race,0.0007981382966250481,Low
sex,0.022113917687944736,Low
capital.gain,0.14327944587549615,High
capital.loss,0.06800490128235481,Medium
hours.per.week,0.1462356377255852,High
native.country,0.10130660486855173,Medium
